C00414888|01212013|258|1|258
C00415182|03302013|2500|2|5000
C00501643|10022013|500|1|500
C00032334|05082013|250|1|250
C00191288|03062013|250|1|250
C00119776|01312013|309|1|309
C00214148|05132013|300|1|300
C00224147|12312013|300|1|300
C00454850|03122013|375|4|1500
C00398248|01262013|500|1|500
C00167668|11052013|1600|1|1600
C00518787|09092013|350|2|700
C00532812|02192013|6500|1|6500
C00111302|11082013|250|2|500
C00193177|11152013|300|1|300
C00541169|02012013|5000|1|5000
C00412221|07232013|1750|2|3500
C00248849|01042013|2750|2|5500
C00085977|03292013|250|10|2500
C00425645|08262013|250|1|250
C00443689|03292013|1000|1|1000
C00464495|03122013|1000|2|2000
C00338954|06202013|1000|1|1000
C00514513|01102013|500|1|500
C00472878|11042013|1000|3|2500
C00385773|07312013|250|1|250
C00541607|09302013|250|2|500
C00438697|09052013|2600|1|2600
C00433136|09242013|500|1|500
C00466854|07312013|275|2|550
C00495630|11132013|1300|1|1300
C00384057|03192013|500|1|500
C00366773|01142013|2500|1|2500
C00474270|02052013|500|1|500
C00413179|09202013|500|1|500
C00367821|01282013|500|1|500
C00154625|11062013|250|1|250
C00140715|03052013|2500|1|2500
C00387126|02152013|300|1|300
C00462861|12092013|250|1|250
C00339655|02152013|218|1|218
C00366757|05042013|500|1|500
C00481911|09252013|1500|1|1500
C00444968|03082013|500|1|500
C00239848|02152013|208|1|208
C00250407|02222013|300|5|1585
C00415075|10152013|250|1|250
C00368142|12312013|3750|2|7500
C00411900|12062013|3000|3|9000
C00264770|08022013|500|1|500
C00079541|10312013|250|1|250
C00529628|11222013|300|1|300
C00001313|10282013|200|1|200
C00041269|11062013|500|1|500
C00430884|12182013|1000|5|3416
C00466813|12232013|1000|1|1000
C00511618|01252013|250|1|250
C00104299|02282013|208|1|208
C00100404|11212013|250|1|250
C00473249|11082013|500|1|500
C00303339|10242013|2000|1|2000
C00488882|10312013|416|3|1248
C00014555|02112013|2500|1|2500
C00503003|10312013|1500|2|3000
C00004325|01282013|235|2|470
C00366468|12272013|5000|1|5000
C00040741|02282013|300|1|300
C00421487|01312013|208|1|208
C00239947|12132013|120|7|829
C00341602|02202013|200|6|1250
C00518605|04152013|400|1|400
C00252338|02192013|2500|1|2500
C00426494|03312013|5000|2|10000
C00409276|12312013|2750|2|5500
C00032979|01072013|260|1|260
C00380535|01252013|208|1|208
